,Industry,main,main_closed,common_theta,common_theta_closed,main_minus_common,main_closed_minus_common_closed
0,Farms,1.0,1.0,1.0,1.0,0.0,0.0
2,Oil and gas extraction,0.994951295557177,1.0,0.9950290017941479,1.0,-7.770623697089807e-05,0.0
8,Textile mills and textile product mills,0.9992648136489887,1.0,0.9991690891549811,1.0,9.572449400752081e-05,0.0
9,Apparel and leather and allied products,0.9998523391547918,1.0,0.9997790299447588,1.0,7.330921003301238e-05,0.0
19,Machinery,0.9978969813968073,1.0,0.9978656123473323,1.0,3.136904947498298e-05,0.0
20,Computer and electronic products,0.9959714030012335,1.0,0.9955407420898289,1.0,0.0004306609114046456,0.0
21,"Electrical equipment, appliances, and components",0.9983768975545508,1.0,0.9982578812198046,1.0,0.00011901633474620255,0.0
22,"Motor vehicles, bodies and trailers, and parts",0.9972149886407671,1.0,0.9970173041746535,1.0,0.00019768446611356794,0.0
24,Furniture and related products,0.9996806785608251,1.0,0.9995190134033864,1.0,0.00016166515743865073,0.0
25,Miscellaneous manufacturing,0.9993082820931918,1.0,0.9992627551777565,1.0,4.552691543524556e-05,0.0
