,Industry,main,main_closed,common_theta,common_theta_closed,main_minus_common,main_closed_minus_common_closed
45,Insurance carriers and related activities,0.9464786343277273,0.9453734638799851,0.9216892312931788,0.9193662760528144,0.024789403034548463,0.026007187827170708
43,"Federal Reserve banks, credit intermediation, and related activities",0.9493976251188808,0.9489595247055106,0.9428235910070764,0.9412233515871471,0.006574034111804461,0.0077361731183634985
6,Construction,0.9853223240090584,0.9851801431406307,0.982114273887906,0.9821491458511711,0.0032080501211524393,0.003030997289459658
17,Primary metals,0.9697256401527536,0.9613217110919462,0.9677043175947256,0.9578090433461891,0.0020213225580280048,0.003512667745757092
49,"Miscellaneous professional, scientific, and technical services",0.9692237938318756,0.9679934424489196,0.9675754161680297,0.965752758797353,0.0016483776638459569,0.0022406836515665995
63,"Other services, except government",0.9809609065083383,0.9809299029426836,0.9794035987413223,0.979395841523729,0.001557307767016014,0.0015340614189545132
52,Administrative and support services,0.9683183865240845,0.9674511042211014,0.9670691130086206,0.9656717208036277,0.001249273515463889,0.0017793834174736345
65,Other real estate,0.9573154305441137,0.9561466907517364,0.9561495981465915,0.9544934129872495,0.0011658323975222151,0.0016532777644868712
40,Motion picture and sound recording industries,0.9963937344526572,0.9963951782248573,0.9954392064699221,0.9953384755697806,0.0009545279827350983,0.0010567026550767356
22,"Motor vehicles, bodies and trailers, and parts",0.982347813766844,0.9766014813728134,0.9814527585056927,0.9751538740219226,0.0008950552611513007,0.0014476073508908893
44,"Securities, commodity contracts, and investments",0.9795501072165125,0.9790573812113821,0.9787042176561003,0.9779884862665075,0.0008458895604122052,0.00106889494487461
20,Computer and electronic products,0.9892640166982554,0.9841651880330655,0.988610506329529,0.9824850211952509,0.0006535103687264066,0.0016801668378145784
41,Broadcasting and telecommunications,0.9850870595750129,0.9851185270724638,0.9844547962335483,0.9843950960706733,0.0006322633414646006,0.0007234310017905088
42,"Data processing, internet publishing, and other information services",0.9875600257787411,0.9872908504766622,0.986969783901327,0.9865266188574366,0.0005902418774141882,0.0007642316192255638
24,Furniture and related products,0.9964796843976108,0.9959849165134559,0.9959130649344279,0.9954612017239127,0.0005666194631829269,0.0005237147895431615
47,Rental and leasing services and lessors of intangible assets,0.9882301821921681,0.9878527677319083,0.9876715095865352,0.9870173091714276,0.000558672605632915,0.0008354585604807285
39,"Publishing industries, except internet (includes software)",0.9930031668764585,0.992946531662289,0.9924975863433927,0.9923921739670617,0.0005055805330658192,0.00055435769522727
48,Legal services,0.9903225201441985,0.9899340548831721,0.9898199025395018,0.9892705589508428,0.0005026176046967201,0.0006634959323292833
59,"Performing arts, spectator sports, museums, and related activities",0.9946527495810826,0.9946148788746468,0.9941646888839415,0.9940412374411,0.000488060697141135,0.0005736414335468787
10,Wood products,0.9959412239872276,0.995658522698969,0.9955671248868425,0.9953417133609214,0.00037409910038510574,0.0003168093380476744
21,"Electrical equipment, appliances, and components",0.9934775589753264,0.9914534915673564,0.9931555213868394,0.9911154347235892,0.0003220375884870341,0.00033805684376719825
8,Textile mills and textile product mills,0.9961679567184137,0.9951709561837606,0.9958969344309461,0.9947857822847027,0.00027102228746767043,0.0003851738990579001
