i,theta_i,se_robust,t_stat,model
111CA,0.3517774046331296,0.11428811608193197,3.0779876044237535,i-theta_j-gamma
113FF,5.576494096349021e-05,0.16662754998895501,0.0003346681924278825,i-theta_j-gamma
211,5.781670271992386e-05,0.09641578113869312,0.0005996601597486943,i-theta_j-gamma
212,0.1989512356342169,0.09964383093127933,1.9966237124245676,i-theta_j-gamma
213,0.4311792018401227,0.10121180746989088,4.260166996507721,i-theta_j-gamma
22,0.24771534548644575,0.10230696584358333,2.421295006101311,i-theta_j-gamma
23,0.42556105281395024,0.06957970294921408,6.1161665654790935,i-theta_j-gamma
311FT,5.967985213093761e-05,0.21712443432092948,0.0002748647443462094,i-theta_j-gamma
313TT,0.6049470083969007,0.2149630587553353,2.8141905492954202,i-theta_j-gamma
315AL,1.1887433653917292,0.13142306456877595,9.04516546842232,i-theta_j-gamma
321,0.4066925542563274,0.09371102441178718,4.339858162997231,i-theta_j-gamma
322,5.849307174563315e-05,0.1110836633590007,0.0005265677236138222,i-theta_j-gamma
323,0.8257447900806538,0.2484012588744999,3.32423754139606,i-theta_j-gamma
324,5.51291594280765e-05,0.25255150709000235,0.0002182887762710123,i-theta_j-gamma
325,0.14156393830745612,0.10487390723039415,1.3498489952935462,i-theta_j-gamma
326,5.9798470153205985e-05,0.09023617374872939,0.000662688450418123,i-theta_j-gamma
327,0.04551273136950347,0.08346665948191945,0.5452803748467068,i-theta_j-gamma
331,0.383758869552495,0.08445588411870983,4.5438973679215735,i-theta_j-gamma
332,0.1942765503038801,0.20161459965580408,0.963603581464579,i-theta_j-gamma
333,0.31049000442315683,0.18087638359254307,1.7165867553090401,i-theta_j-gamma
334,0.25521508641736046,0.17724855114542476,1.4398712134350116,i-theta_j-gamma
335,0.3985997134431486,0.12402292883356171,3.2139195323960448,i-theta_j-gamma
3361MV,0.41972918408161103,0.1512947670295842,2.774247862779928,i-theta_j-gamma
3364OT,0.28498181773771114,0.2052742221100922,1.3882981253480058,i-theta_j-gamma
337,0.24543616487412212,0.16054753631788782,1.5287445108354254,i-theta_j-gamma
339,0.494825506017202,0.07168389387224065,6.902882632172713,i-theta_j-gamma
42,0.5700802810745114,0.16233195995898095,3.511817889826272,i-theta_j-gamma
441,0.2574887792284964,0.11404756024249316,2.257731587427315,i-theta_j-gamma
445,0.21045830056567236,0.14024830835093513,1.5006120433128853,i-theta_j-gamma
452,0.4375703353343952,0.27339566443745067,1.6005021009925544,i-theta_j-gamma
481,0.11685226854296613,0.12603420850781114,0.9271472398362708,i-theta_j-gamma
482,4.72721008332747e-05,0.1316879334132504,0.0003589706331325736,i-theta_j-gamma
483,5.270400726991693e-05,0.3405205972454792,0.00015477479981019457,i-theta_j-gamma
